year,geo_name,geo,total_reimbursements_b
2010,"Baker County","05000US12003",12592.0
2011,"Jefferson County","05000US39081",12589.0
2012,"Hidalgo County, TX","05000US48215",12588.0
2010,"Delta County","05000US48119",12586.0
2010,"Allen Parish","05000US22003",12582.0
2011,"DeSoto County","05000US12027",12579.0
2013,"Wheeler County","05000US48483",12575.0
2012,"Atoka County","05000US40005",12574.0
2014,"Perry County","05000US21193",12574.0
2012,"Starr County","05000US48427",12574.0
2011,"Latimer County","05000US40077",12573.0
2010,"Ouachita Parish, LA","05000US22073",12570.0
2010,"Northwest Arctic Borough","05000US02188",12570.0
2012,"Baylor County","05000US48023",12568.0
2014,"Bee County","05000US48025",12563.0
2014,"Union Parish","05000US22111",12560.0
2014,"Brooke County","05000US54009",12558.0
2014,"Jefferson County","05000US28063",12553.0
2014,"Liberty County","05000US48291",12552.0
2013,"Sunflower County","05000US28133",12550.0
2013,"Jackson Parish","05000US22049",12547.0
2010,"Sabine Parish","05000US22085",12540.0
2013,"Greene County","05000US28041",12538.0
2010,"Hamilton County","05000US20075",12529.0
2011,"Young County","05000US48503",12528.0
2010,"Terry County","05000US48445",12528.0
2012,"Scotland County","05000US29199",12527.0
2013,"Willacy County","05000US48489",12526.0
2013,"Liberty County","05000US12077",12525.0
2013,"Newton County","05000US28101",12522.0
2013,"Fentress County","05000US47049",12520.0
2011,"Natchitoches Parish","05000US22069",12518.0
2012,"Green County","05000US21087",12516.0
2011,"Dimmit County","05000US48127",12511.0
2011,"Brantley County","05000US13025",12511.0
2012,"Scott County","05000US47151",12507.0
2013,"Scott County","05000US47151",12506.0
2012,"Natchitoches Parish","05000US22069",12503.0
2012,"Lawrence County","05000US28077",12500.0
2014,"Young County","05000US48503",12500.0
2014,"Floyd County","05000US21071",12499.0
2014,"Clay County","05000US21051",12498.0
2011,"Wheeler County","05000US13309",12495.0
2010,"Wheeler County","05000US48483",12493.0
2014,"Fannin County","05000US48147",12486.0
2010,"Adair County","05000US21001",12483.0
2014,"Grayson County, TX","05000US48181",12482.0
2014,"Scott County","05000US28123",12482.0
2011,"Logan County","05000US54045",12481.0
2012,"Johnson County, TX","05000US48251",12476.0
2012,"Jefferson County","05000US28063",12473.0
2014,"Crosby County","05000US48107",12466.0
2010,"Rusk County","05000US48401",12455.0
2011,"Greenup County","05000US21089",12452.0
2010,"Natchitoches Parish","05000US22069",12444.0
2012,"Early County","05000US13099",12439.0
2010,"Bossier Parish, LA","05000US22015",12439.0
2010,"Sunflower County","05000US28133",12437.0
2014,"Bienville Parish","05000US22013",12433.0
2012,"Claiborne Parish","05000US22027",12433.0
2013,"Le Flore County","05000US40079",12432.0
2011,"Jefferson Davis County","05000US28065",12432.0
2013,"Clark County","05000US20025",12426.0
2012,"Sevier County","05000US05133",12426.0
2010,"La Salle County","05000US48283",12424.0
2014,"Noxubee County","05000US28103",12422.0
2010,"Greene County","05000US28041",12417.0
2012,"Fannin County","05000US48147",12416.0
2012,"San Patricio County","05000US48409",12415.0
2012,"St. Tammany Parish, LA","05000US22103",12412.0
2013,"Phillips County","05000US20147",12410.0
2012,"Candler County","05000US13043",12409.0
2011,"Grayson County, TX","05000US48181",12409.0
2014,"Hardee County","05000US12049",12401.0
2011,"Denton County, TX","05000US48121",12401.0
2012,"Love County","05000US40085",12400.0
2013,"Magoffin County","05000US21153",12399.0
2010,"Jackson County","05000US40065",12398.0
2010,"Jefferson County","05000US28063",12394.0
2011,"Titus County","05000US48449",12393.0
2014,"Crittenden County","05000US21055",12393.0
2012,"Greenup County","05000US21089",12389.0
2012,"Upton County","05000US48461",12388.0
2014,"Morehouse Parish","05000US22067",12382.0
2011,"Greeley County","05000US20071",12377.0
2013,"Webster Parish","05000US22119",12377.0
2012,"Weakley County","05000US47183",12376.0
2012,"Simpson County","05000US21213",12375.0
2012,"Letcher County","05000US21133",12373.0
2011,"Harlan County","05000US21095",12371.0
2013,"St. Tammany Parish, LA","05000US22103",12370.0
2011,"Perry County","05000US28111",12367.0
2011,"Fentress County","05000US47049",12366.0
2013,"Sherman County","05000US20181",12364.0
2011,"Wise County","05000US51195",12362.0
2011,"Beauregard Parish","05000US22011",12360.0
2013,"Bryan County","05000US40013",12359.0
2011,"Trimble County","05000US21223",12357.0
2011,"Floyd County","05000US48153",12355.0
2012,"DeSoto County","05000US12027",12355.0
2010,"Perry County","05000US28111",12351.0
2011,"Clinton County","05000US21053",12348.0
2011,"Todd County","05000US46121",12348.0
2014,"Humphreys County","05000US47085",12345.0
2014,"Red River County","05000US48387",12344.0
2014,"Adams County","05000US39001",12341.0
2011,"Richland Parish","05000US22083",12339.0
2012,"Yazoo County","05000US28163",12338.0
2010,"Trinity County","05000US48455",12338.0
2013,"Smith County","05000US28129",12337.0
2014,"Hidalgo County, TX","05000US48215",12336.0
2010,"DeSoto County","05000US12027",12334.0
2012,"Johnson County","05000US21115",12334.0
2010,"Fentress County","05000US47049",12330.0
2011,"Yazoo County","05000US28163",12330.0
2012,"Cooke County","05000US48097",12330.0
2011,"Scott County","05000US28123",12327.0
2011,"Whitley County","05000US21235",12324.0
2011,"Sunflower County","05000US28133",12324.0
2010,"Greenup County","05000US21089",12323.0
2012,"Gove County","05000US20063",12322.0
2014,"Johnson County, TX","05000US48251",12321.0
2013,"Grayson County, TX","05000US48181",12321.0
